CAS,Pollutant
64-19-7,Acetic Acid
64-18-6,Formic Acid
50-21-5,Lactic Acid
79-09-4,Propionic Acid
71-36-3,Butanol
67-17-5,Ethanol
121-51-3,Isoamyl
71-23-8,Propanol
123-72-8,Butyraldehyde
98-01-1,Furfural
128-38-6,Proprionaldehyde
100-52-7,Benzaldehyde
141-78-6,Ethyl Acetate
