"Averaging.Time","Stack.Height.meters","X10","X20","X30","X40","X50","X60","X70","X80","X90","X100","X120","X140","X160","X180","X200","X250","X300","X350","X400","X500","X600","X700","X800","X900","X1000","X1500","X2500","X5000","X7500","X10000"
"1-hr","40","409","409","409","409","408","407","406","404","403","401","343","281","201","197","192","177","161","149","140","124","111","101","92","87","84","70","57","40","22","9"
"1-hr","41","390","390","390","390","390","389","387","386","384","383","332","283","189","186","182","168","154","144","135","120","108","98","90","84","81","68","55","39","22","9"
"1-hr","42","373","373","373","373","373","372","371","370","368","367","345","268","182","180","176","163","150","137","129","115","104","94","86","81","77","65","53","38","23","10"
"1-hr","43","357","357","357","357","357","356","355","354","352","351","328","268","188","171","168","156","144","132","124","111","100","91","83","77","74","63","52","37","23","10"
"1-hr","44","341","341","341","341","341","341","340","339","337","336","313","266","205","165","162","152","140","128","121","108","97","89","81","75","72","61","49","36","23","11"
"1-hr","45","327","327","327","327","327","326","325","324","323","322","304","260","217","157","155","145","134","123","116","104","94","85","78","72","69","58","48","35","23","11"
"1-hr","46","314","314","314","314","314","313","312","311","310","309","307","262","220","152","150","141","131","120","112","101","91","83","76","71","67","57","47","34","23","12"
"1-hr","47","301","301","301","301","301","300","300","299","298","297","295","251","213","144","143","135","125","116","109","98","89","81","75","69","65","55","45","33","22","12"
"1-hr","48","290","290","290","290","290","289","289","288","287","286","284","245","208","147","139","132","122","113","105","94","86","78","72","67","62","53","43","32","22","12"
"1-hr","49","279","279","279","279","279","278","278","277","276","275","273","250","208","158","133","126","118","109","102","92","84","76","70","65","61","52","42","31","22","13"
"1-hr","50","268","268","268","268","268","268","267","267","266","265","263","239","205","169","129","123","115","107","99","89","81","74","68","63","59","50","41","30","22","13"
"1-hr","51","258","258","258","258","258","258","257","257","256","255","254","230","204","172","123","118","111","103","95","86","78","72","66","61","57","48","40","30","22","13"
"1-hr","52","248","248","248","248","248","248","248","247","247","246","245","226","201","171","120","115","108","101","94","84","76","70","65","60","56","47","38","29","21","13"
"1-hr","53","240","240","240","240","240","240","240","239","238","238","236","233","199","167","122","111","104","97","91","82","75","69","63","59","56","46","37","28","21","13"
