"Averaging.Time","Stack.Height.meters","X10","X20","X30","X40","X50","X60","X70","X80","X90","X100","X120","X140","X160","X180","X200","X250","X300","X350","X400","X500","X600","X700","X800","X900","X1000","X1500","X2500","X5000","X7500","X10000"
"monthly","86","8","8","8","8","8","8","8","8","7","7","7","6","5","5","5","4","3","2","1","1","1","1","1","1","0","0","0","0","0","0"
"monthly","87","8","8","8","8","8","8","8","7","7","7","6","6","5","5","5","4","3","2","1","1","1","1","1","1","0","0","0","0","0","0"
"monthly","88","8","8","8","8","8","8","7","7","7","7","6","6","5","5","4","4","3","2","1","1","1","1","1","1","0","0","0","0","0","0"
"monthly","89","8","8","8","8","8","7","7","7","7","7","6","6","5","5","4","4","3","2","1","1","1","1","1","1","0","0","0","0","0","0"
"monthly","90","7","7","7","7","7","7","7","7","7","7","6","6","5","5","4","4","3","2","1","1","1","1","1","1","0","0","0","0","0","0"
"monthly","91","7","7","7","7","7","7","7","7","7","6","6","6","5","5","4","4","3","2","1","1","1","1","1","1","0","0","0","0","0","0"
"monthly","92","7","7","7","7","7","7","7","7","7","6","6","5","5","4","4","3","3","2","1","1","1","1","1","1","0","0","0","0","0","0"
"monthly","93","7","7","7","7","7","7","7","7","6","6","6","5","5","4","4","3","3","2","1","1","1","1","1","1","0","0","0","0","0","0"
"monthly","94","7","7","7","7","7","7","7","6","6","6","6","5","5","4","4","3","3","2","1","1","1","1","1","1","0","0","0","0","0","0"
"monthly","95","7","7","7","7","7","7","6","6","6","6","6","5","5","4","4","3","3","2","1","1","1","1","1","1","0","0","0","0","0","0"
"monthly","96","7","7","7","6","6","6","6","6","6","6","6","5","5","4","4","3","3","2","1","1","1","1","1","1","0","0","0","0","0","0"
"monthly","97","6","6","6","6","6","6","6","6","6","6","5","5","5","4","4","3","3","2","1","1","1","1","1","1","0","0","0","0","0","0"
"monthly","98","6","6","6","6","6","6","6","6","6","6","5","5","4","4","4","3","3","2","1","1","1","1","1","0","0","0","0","0","0","0"
"monthly","99","6","6","6","6","6","6","6","6","6","6","5","5","4","4","4","3","3","2","1","1","1","1","1","0","0","0","0","0","0","0"
"annual","1","3836","1958","1216","826","600","457","360","292","243","205","153","119","95","79","66","46","34","26","21","14","11","8","7","6","5","2","1","0","0","0"
"annual","2","2465","1554","940","593","410","310","250","210","180","157","122","98","81","68","58","41","31","24","20","14","10","8","6","5","4","2","1","0","0","0"
"annual","3","2357","1236","775","542","402","305","239","192","156","131","98","78","65","56","49","36","28","22","18","13","10","8","6","5","4","2","1","0","0","0"
"annual","4","4211","942","586","398","302","238","196","163","139","119","92","71","58","49","42","31","24","20","16","12","9","7","6","5","4","2","1","0","0","0"
"annual","5","2663","754","479","334","245","186","151","127","110","96","76","62","52","43","37","27","21","17","14","11","8","7","6","5","4","2","1","0","0","0"
"annual","6","2090","619","396","277","208","160","128","105","90","78","62","52","43","37","33","24","18","15","13","9","7","6","5","4","4","2","1","0","0","0"
"annual","7","1607","885","322","232","175","137","111","91","77","66","52","43","37","32","28","20","16","13","11","9","7","5","5","4","3","2","1","0","0","0"
"annual","8","1230","656","255","192","147","117","95","79","67","57","44","36","30","26","24","18","14","12","10","7","6","5","4","4","3","2","1","0","0","0"
"annual","9","944","506","299","164","128","103","85","71","61","52","40","32","27","23","20","15","13","10","9","7","5","4","4","3","3","2","1","0","0","0"
"annual","10","762","448","328","141","113","91","75","64","55","47","37","29","24","20","18","14","11","10","8","6","5","4","3","3","3","2","1","0","0","0"
"annual","11","622","398","275","123","96","80","67","56","48","42","33","27","22","19","16","12","10","8","7","5","4","4","3","3","2","1","1","0","0","0"
"annual","12","513","354","233","167","84","71","60","51","44","38","30","25","20","17","15","11","9","7","6","5","4","3","3","2","2","1","1","0","0","0"
"annual","13","434","316","204","170","75","63","54","46","40","35","28","23","19","16","14","10","8","7","6","4","4","3","3","2","2","1","1","0","0","0"
"annual","14","371","286","189","151","84","55","48","42","36","32","25","21","17","15","13","9","7","6","5","4","3","3","2","2","2","1","1","0","0","0"
"annual","15","320","254","176","134","101","50","43","37","33","29","23","19","16","14","12","9","7","6","5","4","3","3","2","2","2","1","1","0","0","0"
"annual","16","279","230","164","121","105","49","39","34","30","27","22","18","15","13","11","8","6","5","4","4","3","2","2","2","2","1","1","0","0","0"
"annual","17","245","206","153","110","96","62","37","32","28","25","20","17","14","12","11","8","6","5","4","3","3","2","2","2","1","1","1","0","0","0"
"annual","18","216","185","142","104","87","69","35","29","26","23","19","16","13","11","10","7","6","5","4","3","3","2","2","2","1","1","0","0","0","0"
"annual","19","192","167","132","98","79","70","38","28","24","22","18","15","13","11","9","7","5","4","4","3","2","2","2","1","1","1","0","0","0","0"
"annual","20","171","151","123","93","73","66","47","26","23","21","16","14","12","10","9","6","5","4","3","3","2","2","2","1","1","1","0","0","0","0"
"annual","21","153","137","114","87","68","60","49","26","22","19","16","13","11","9","8","6","5","4","3","2","2","2","2","1","1","1","0","0","0","0"
"annual","22","138","125","105","83","64","55","50","31","21","18","15","12","11","9","8","6","5","4","3","2","2","2","1","1","1","1","0","0","0","0"
"annual","23","125","114","98","79","61","51","48","36","20","17","14","12","10","9","8","6","4","4","3","2","2","2","1","1","1","1","0","0","0","0"
"annual","24","114","105","91","74","59","48","43","37","21","17","14","11","10","8","7","5","4","3","3","2","2","1","1","1","1","1","0","0","0","0"
"annual","25","104","96","85","70","56","46","41","37","25","16","13","11","9","8","7","5","4","3","3","2","2","1","1","1","1","1","0","0","0","0"
"annual","26","95","89","79","66","54","44","38","36","27","16","12","10","9","8","7","5","4","3","3","2","2","1","1","1","1","1","0","0","0","0"
"annual","27","88","82","73","63","51","42","36","33","28","18","12","10","9","7","6","5","4","3","3","2","2","1","1","1","1","1","0","0","0","0"
"annual","28","81","76","68","59","49","40","34","31","29","21","11","10","8","7","6","5","4","3","2","2","1","1","1","1","1","1","0","0","0","0"
"annual","29","74","70","64","56","47","39","32","29","28","22","11","9","8","7","6","5","4","3","2","2","1","1","1","1","1","1","0","0","0","0"
"annual","30","69","65","60","53","45","37","31","28","26","22","11","9","8","7","6","4","3","3","2","2","1","1","1","1","1","1","0","0","0","0"
"annual","31","64","61","56","50","42","36","30","26","24","22","11","8","7","6","6","4","3","3","2","2","1","1","1","1","1","0","0","0","0","0"
"annual","32","59","57","52","47","41","34","29","25","23","22","12","8","7","6","5","4","3","3","2","2","1","1","1","1","1","0","0","0","0","0"
"annual","33","55","53","49","45","39","33","28","24","22","21","13","8","7","6","5","4","3","3","2","2","1","1","1","1","1","0","0","0","0","0"
"annual","34","52","50","46","42","37","32","27","23","21","19","15","8","7","6","5","4","3","3","2","2","1","1","1","1","1","0","0","0","0","0"
"annual","35","48","47","44","40","36","31","26","22","20","19","15","7","6","6","5","4","3","2","2","2","1","1","1","1","1","0","0","0","0","0"
"annual","36","45","44","41","38","34","30","25","22","19","18","15","7","6","5","5","4","3","2","2","1","1","1","1","1","1","0","0","0","0","0"
"annual","37","43","41","39","36","33","28","25","21","19","17","15","8","6","5","5","4","3","2","2","1","1","1","1","1","1","0","0","0","0","0"
"annual","38","40","39","37","34","31","27","24","21","18","16","15","9","6","5","5","4","3","2","2","1","1","1","1","1","1","0","0","0","0","0"
"annual","39","38","37","35","33","30","26","23","20","17","16","14","10","6","5","4","3","3","2","2","1","1","1","1","1","1","0","0","0","0","0"
"annual","40","36","35","33","31","28","25","22","19","17","15","13","10","6","5","4","3","3","2","2","1","1","1","1","1","1","0","0","0","0","0"
"annual","41","34","33","31","29","27","24","22","19","17","15","13","10","6","5","4","3","3","2","2","1","1","1","1","1","1","0","0","0","0","0"
"annual","42","32","31","30","28","26","23","21","18","16","14","12","11","6","5","4","3","3","2","2","1","1","1","1","1","1","0","0","0","0","0"
"annual","43","30","30","29","27","25","23","20","18","16","14","12","11","7","4","4","3","2","2","2","1","1","1","1","1","0","0","0","0","0","0"
"annual","44","29","28","27","26","24","22","20","17","15","14","11","11","7","4","4","3","2","2","2","1","1","1","1","1","0","0","0","0","0","0"
"annual","45","27","27","26","25","23","21","19","17","15","13","11","10","8","4","4","3","2","2","2","1","1","1","1","1","0","0","0","0","0","0"
"annual","46","26","26","25","23","22","20","18","16","15","13","11","10","8","4","4","3","2","2","2","1","1","1","1","1","0","0","0","0","0","0"
"annual","47","25","25","24","22","21","20","18","16","14","13","10","9","8","5","4","3","2","2","2","1","1","1","1","1","0","0","0","0","0","0"
"annual","48","24","23","23","22","20","19","17","15","14","12","10","9","8","5","4","3","2","2","2","1","1","1","1","1","0","0","0","0","0","0"
"annual","49","23","22","22","21","19","18","17","15","14","12","10","9","8","5","3","3","2","2","2","1","1","1","1","1","0","0","0","0","0","0"
"annual","50","22","21","21","20","19","18","16","15","13","12","10","8","8","6","3","3","2","2","2","1","1","1","1","0","0","0","0","0","0","0"
"annual","51","21","20","20","19","18","17","16","14","13","12","9","8","8","6","3","3","2","2","1","1","1","1","1","0","0","0","0","0","0","0"
"annual","52","20","20","19","18","17","16","15","14","13","11","9","8","7","6","4","3","2","2","1","1","1","1","1","0","0","0","0","0","0","0"
"annual","53","19","19","18","18","17","16","15","14","12","11","9","8","7","6","4","2","2","2","1","1","1","1","1","0","0","0","0","0","0","0"
"annual","54","18","18","18","17","16","15","14","13","12","11","9","7","7","6","4","2","2","2","1","1","1","1","1","0","0","0","0","0","0","0"
"annual","55","17","17","17","16","16","15","14","13","12","11","9","7","7","6","5","2","2","2","1","1","1","1","1","0","0","0","0","0","0","0"
"annual","56","17","17","16","16","15","14","13","12","11","10","9","7","6","6","5","2","2","2","1","1","1","1","1","0","0","0","0","0","0","0"
"annual","57","16","16","16","15","15","14","13","12","11","10","8","7","6","6","5","2","2","2","1","1","1","1","1","0","0","0","0","0","0","0"
"annual","58","16","15","15","15","14","13","13","12","11","10","8","7","6","6","5","2","2","2","1","1","1","1","1","0","0","0","0","0","0","0"
"annual","59","15","15","15","14","14","13","12","11","11","10","8","7","6","6","5","2","2","1","1","1","1","1","1","0","0","0","0","0","0","0"
"annual","60","14","14","14","14","13","13","12","11","10","9","8","7","6","5","5","2","2","1","1","1","1","1","1","0","0","0","0","0","0","0"
"annual","61","14","14","14","13","13","12","11","11","10","9","8","7","6","5","5","2","2","1","1","1","1","1","0","0","0","0","0","0","0","0"
"annual","62","13","13","13","13","12","12","11","11","10","9","8","6","6","5","5","2","2","1","1","1","1","1","0","0","0","0","0","0","0","0"
"annual","63","13","13","13","12","12","11","11","10","10","9","7","6","5","5","5","2","2","1","1","1","1","1","0","0","0","0","0","0","0","0"
"annual","64","12","12","12","12","12","11","11","10","9","9","7","6","5","5","5","2","2","1","1","1","1","1","0","0","0","0","0","0","0","0"
"annual","65","12","12","12","12","11","11","10","10","9","9","7","6","5","5","4","2","2","1","1","1","1","1","0","0","0","0","0","0","0","0"
"annual","66","12","12","11","11","11","10","10","9","9","8","7","6","5","5","4","2","2","1","1","1","1","1","0","0","0","0","0","0","0","0"
"annual","67","11","11","11","11","11","10","10","9","9","8","7","6","5","4","4","3","2","1","1","1","1","1","0","0","0","0","0","0","0","0"
"annual","68","11","11","11","11","10","10","9","9","8","8","7","6","5","4","4","3","2","1","1","1","1","1","0","0","0","0","0","0","0","0"
"annual","69","11","11","10","10","10","10","9","9","8","8","7","6","5","4","4","3","2","1","1","1","1","1","0","0","0","0","0","0","0","0"
"annual","70","10","10","10","10","10","9","9","9","8","8","7","6","5","4","4","3","1","1","1","1","1","1","0","0","0","0","0","0","0","0"
"annual","71","10","10","10","10","9","9","9","8","8","7","6","6","5","4","4","3","1","1","1","1","1","1","0","0","0","0","0","0","0","0"
"annual","72","10","10","10","9","9","9","8","8","8","7","6","5","5","4","4","3","1","1","1","1","1","1","0","0","0","0","0","0","0","0"
"annual","73","9","9","9","9","9","9","8","8","8","7","6","5","5","4","4","3","1","1","1","1","1","1","0","0","0","0","0","0","0","0"
"annual","74","9","9","9","9","9","8","8","8","7","7","6","5","5","4","4","3","1","1","1","1","1","1","0","0","0","0","0","0","0","0"
"annual","75","9","9","9","9","8","8","8","7","7","7","6","5","5","4","4","3","1","1","1","1","1","1","0","0","0","0","0","0","0","0"
"annual","76","9","9","8","8","8","8","8","7","7","7","6","5","4","4","3","3","1","1","1","1","1","1","0","0","0","0","0","0","0","0"
"annual","77","8","8","8","8","8","8","7","7","7","7","6","5","4","4","3","3","1","1","1","1","1","0","0","0","0","0","0","0","0","0"
"annual","78","8","8","8","8","8","7","7","7","7","6","6","5","4","4","3","3","2","1","1","1","1","0","0","0","0","0","0","0","0","0"
"annual","79","8","8","8","8","7","7","7","7","7","6","6","5","4","4","3","3","2","1","1","1","1","0","0","0","0","0","0","0","0","0"
"annual","80","8","8","8","7","7","7","7","7","6","6","5","5","4","4","3","3","2","1","1","1","1","0","0","0","0","0","0","0","0","0"
"annual","81","7","7","7","7","7","7","7","6","6","6","5","5","4","4","3","3","2","1","1","1","1","0","0","0","0","0","0","0","0","0"
"annual","82","7","7","7","7","7","7","7","6","6","6","5","5","4","4","3","3","2","1","1","1","1","0","0","0","0","0","0","0","0","0"
"annual","83","7","7","7","7","7","7","6","6","6","6","5","5","4","4","3","3","2","1","1","1","1","0","0","0","0","0","0","0","0","0"
"annual","84","7","7","7","7","7","6","6","6","6","6","5","5","4","4","3","3","2","1","1","1","1","0","0","0","0","0","0","0","0","0"
"annual","85","7","7","7","7","6","6","6","6","6","5","5","4","4","3","3","3","2","1","1","1","1","0","0","0","0","0","0","0","0","0"
"annual","86","7","7","6","6","6","6","6","6","6","5","5","4","4","3","3","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0"
"annual","87","6","6","6","6","6","6","6","6","5","5","5","4","4","3","3","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0"
"annual","88","6","6","6","6","6","6","6","6","5","5","5","4","4","3","3","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0"
"annual","89","6","6","6","6","6","6","6","5","5","5","5","4","4","3","3","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0"
"annual","90","6","6","6","6","6","6","5","5","5","5","5","4","4","3","3","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0"
"annual","91","6","6","6","6","6","5","5","5","5","5","4","4","4","3","3","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0"
"annual","92","6","6","6","6","5","5","5","5","5","5","4","4","4","3","3","2","2","1","1","1","1","0","0","0","0","0","0","0","0","0"
"annual","93","5","5","5","5","5","5","5","5","5","5","4","4","4","3","3","2","2","1","1","1","0","0","0","0","0","0","0","0","0","0"
"annual","94","5","5","5","5","5","5","5","5","5","5","4","4","3","3","3","2","2","1","1","1","0","0","0","0","0","0","0","0","0","0"
"annual","95","5","5","5","5","5","5","5","5","5","4","4","4","3","3","3","2","2","1","1","1","0","0","0","0","0","0","0","0","0","0"
"annual","96","5","5","5","5","5","5","5","5","5","4","4","4","3","3","3","2","2","1","1","1","0","0","0","0","0","0","0","0","0","0"
"annual","97","5","5","5","5","5","5","5","5","4","4","4","4","3","3","3","2","2","1","1","1","0","0","0","0","0","0","0","0","0","0"
"annual","98","5","5","5","5","5","5","5","4","4","4","4","4","3","3","3","2","2","1","1","1","0","0","0","0","0","0","0","0","0","0"
"annual","99","5","5","5","5","5","5","5","4","4","4","4","4","3","3","3","2","2","1","1","1","0","0","0","0","0","0","0","0","0","0"
