Facility,Pollutant,Potential Emis Rate (lbs/hr),Unrestricted Emis Rate (tons/yr),Limited Emis Rate (tons/yr)
,PM < 2.5 micron,0.417,15.929,1.833
Electric Machinery Co Inc/WEG Group,Nitrogen Oxides,5.547,24.294,24.294
,Sulfur Dioxide,0.330286,1.352451,1.352451
,Carbon Monoxide,3.374,14.762,14.222
,PM < 10 micron,576.451,"2,524.735",809.465
,PM < 2.5 micron,576.451,"2,524.735",809.465
Elk River Landfill,Nitrogen Oxides,52.87,231.56,231.56
,Sulfur Dioxide,3.788,16.612,16.612
,Carbon Monoxide,125.106,547.934,547.934
,PM < 10 micron,41.753,112.335,112.335
,PM < 2.5 micron,18.218,72.767,72.767
Elkay Wood Products,PM < 10 micron,5.14,"2,253",22.53
,PM < 2.5 micron,5.094000000,,22.32
Endres Processing LLC & Endres Farms,Nitrogen Oxides,346.78,"1,519.1","1,519.1"
,Sulfur Dioxide,"1,171.606","10,255.626","5,131.126"
,Carbon Monoxide,161.62,"1,417.1",707.45
,PM < 10 micron,11.706,584.82,50.469
,PM < 2.5 micron,9.2821,510.5,40.9855
Enviro-Chem Inc - Plant 1,Nitrogen Oxides,3.87,16.74,16.74
,Sulfur Dioxide,0.5586,2.5182,2.5182
,Carbon Monoxide,3.312,29.1,12.72
,PM < 10 micron,3.26,209.73,14.28
Essar Steel Minnesota LLC,Nitrogen Oxides,425.4,"3,965.13",871.73
,Sulfur Dioxide,124.50803,444.48438,444.48438
,Carbon Monoxide,571.316,"16,014.17","1,949.87"
,PM < 10 micron,344.7846,"51,847.11","1,210.46"
,PM < 2.5 micron,122.3846,"17,268.103",477.863
,Hydrogen Sulfide (H2S),8.3,30.75,30.75
Ethanol 2000 LLP dba POET Biorefining Bingham Lake,Nitrogen Oxides,1.75,7.67,7.67
,Sulfur Dioxide,0.14,0.58,0.58
,Carbon Monoxide,0.75,3.27,3.27
,PM < 10 micron,30.16,303.59,50.01
,PM < 2.5 micron,28.11,202.31,41.03
Fairmont Energy Station,Nitrogen Oxides,496.68,"2,739.6",
,Sulfur Dioxide,0.59,2.576,
,Carbon Monoxide,393.74,"2,596.38",
,PM < 10 micron,21.76,95.292,
,PM < 2.5 micron,21.54,94.332,
Faribault Energy Park,Nitrogen Oxides,412.37,"1,574.53",339.91
,Sulfur Dioxide,107.64,467.6,0
,Carbon Monoxide,"1,344.64","5,836.21","1,117.79"
,PM < 10 micron,59.5,256.52,144.36
Federal-Mogul Corp Powertrain Systems,Nitrogen Oxides,18.5348,81.177,81.177
,Sulfur Dioxide,1.1788634,5.178304,5.178304
,Carbon Monoxide,2.77482,12.1445,12.1445
,PM < 10 micron,212.488234,930.506762000,98.8231762
,PM < 2.5 micron,56.23124,246.308866,41.968866
Fergus Control Centers,Nitrogen Oxides,56.45,247.25,14.109
,Sulfur Dioxide,0.86838,3.8017,0.2200956
,Carbon Monoxide,17.033,74.6,4.255
,PM < 10 micron,0.991,4.34,0.25154
,PM < 2.5 micron,0.962,4.22,0.24154
FilmTec Corp,Nitrogen Oxides,11.434,50.088,50.088
,Sulfur Dioxide,0.0543,0.2424,0.2424
,Carbon Monoxide,7.8,34.171,34.171
,PM < 10 micron,1.383,6.055,6.055
,PM < 2.5 micron,1.383,6.055,6.055
FLEXcon Co Inc,Nitrogen Oxides,0.0762,0.334,0.334
,Sulfur Dioxide,0.0005,0.002,0.002
,Carbon Monoxide,0.064,0.28,0.28
,PM < 10 micron,0.0058,0.025,0.025
,PM < 2.5 micron,0.0058,0.025,0.025
Flint Hills Resources Pine Bend Refinery,Nitrogen Oxides,"5,546.014","24,500.6102","7,228.4702"
,Sulfur Dioxide,"18,659.175232","81,531.05739","7,326.70739"
,Carbon Monoxide,"3,721.566","16,156.5602","3,428.7602"
,PM < 10 micron,206.4021,902.0416,606.0676
,PM < 2.5 micron,"1,123.880846","4,892.42889","1,814.23889"
,Hydrogen Sulfide (H2S),124.8571,57.3157,57.3157
Flint Hills Resources Shakopee LLC - Shakopee Facility,Nitrogen Oxides,3.423,15.01,15.01
,Sulfur Dioxide,0.0144,0.0624,0.0624
,Carbon Monoxide,1.982,8.66,8.66
,PM < 10 micron,16.0097,159.658,70.0696
,PM < 2.5 micron,13.8397,150.148,60.5596
Foldcraft Co - Kenyon,Nitrogen Oxides,5.03,22.053,22.09
,Sulfur Dioxide,0.1902,0.8449,0.8455
,Carbon Monoxide,5.844,25.632,25.632
,PM < 10 micron,114.4906,"1,666.398",83.798
,PM < 2.5 micron,114.4905,"1,666.686",84.086
G&K Services - Minneapolis Industrial,Nitrogen Oxides,11.82,51.88,33.04
,Sulfur Dioxide,40.856,179,24.48
,Carbon Monoxide,4,17.52,17.52
,PM < 10 micron,2.568,11.28,11.28
GAF Materials Corp,PM < 10 micron,7.99,,
GE Osmonics Inc,Nitrogen Oxides,32.13,140.68,140.68
,Sulfur Dioxide,3.860882,16.9239,16.9239
,Carbon Monoxide,5.39,45.97,23.53
,PM < 10 micron,36.14,601.81,57.85
,PM < 2.5 micron,36.11,601.63,57.67
Geotek,PM < 10 micron,23.6747,455.58,103.5715
,PM < 2.5 micron,23.6747,455.6,103.5715
Gerdau Ameristeel US Inc - Saint Paul Mill,Nitrogen Oxides,37.47,,164.07
,Sulfur Dioxide,94.22,,412.58
,Carbon Monoxide,16.14,,70.67
,PM < 10 micron,95.616,,376.852
Glacial Plains Cooperative,Nitrogen Oxides,0.35,1.53,1.53
,Sulfur Dioxide,0,0.009,0.009
,Carbon Monoxide,0.29,1.28,1.28
,PM < 10 micron,3.32,14.53,14.53
Glencoe Light & Power Commission,Nitrogen Oxides,"1,360.27","5,957.96",2.04
,Sulfur Dioxide,142.86,625.63,25.56
,Carbon Monoxide,319.18,"1,398.01",56.73
,PM < 10 micron,36.07,157.98,6.61
,PM < 2.5 micron,36.07,157.98,6.61
Gopher Resource,Nitrogen Oxides,197.51,830.83,162.14
,Sulfur Dioxide,281.8594,"23,852.649","1,188.269"
,Carbon Monoxide,56.92,"2,992.21",97.75
,PM < 10 micron,32.86678,"23,837.0296",94.5686
,PM < 2.5 micron,32.86458,"23,813.3292",94.5658
Grand Marais Public Utilities Commission,Nitrogen Oxides,137.9,603.94,93
,Sulfur Dioxide,11.13,48.81,7.51
,Carbon Monoxide,7.87,34.48,5.31
,PM < 10 micron,0.77,3.42,0.54
Granite Falls Energy LLC,Nitrogen Oxides,25.83,148.16,109.76
,Sulfur Dioxide,1.87,8.8,6.26
,Carbon Monoxide,21.13,92.59,84.31
,PM < 10 micron,26.77,"4,403.53",113.855
,PM < 2.5 micron,24.26,"1,375.99",72.197
Great Lakes Gas Transmission - Station 1,Nitrogen Oxides,629.87,"2,758.9","2,742.9"
,Sulfur Dioxide,0,0,0
,Carbon Monoxide,100.71,441.13,429.23
,PM < 10 micron,0.0246,0.1065,0.1065
Great Lakes Gas Transmission - Station 2,Nitrogen Oxides,93.1,407.81,407.81
,Sulfur Dioxide,0,0,0
,Carbon Monoxide,196.75,861.77,861.77
,PM < 10 micron,0.102,0.451,0.451
Great Lakes Gas Transmission - Station 3,Nitrogen Oxides,302.18,"1,323.8","1,242.9"
,Sulfur Dioxide,2.04882,8.9724,8.960706
,Carbon Monoxide,96.722,423.66,417.38
,PM < 10 micron,3.9704,17.3916,17.4
,PM < 2.5 micron,3.9704,17.3916,17.4
Great River Energy,Nitrogen Oxides,946,"7,427.59","1,196.84"
,Sulfur Dioxide,43.68,"3,299.87",150.12
,Carbon Monoxide,"3,950.58","18,429.79",690.15
,PM < 10 micron,160.1388,"55,065.9978",158.575469
,PM < 2.5 micron,21.7088,"54,457.3805",83.43312
Great River Energy - Cambridge,Nitrogen Oxides,510.21,"2,232.89",0
,Sulfur Dioxide,181.61896,810.498566,0.065
,Carbon Monoxide,70.528349119,308.9299,0.145
,PM < 10 micron,18.2235949,79.797345870,0.055
,PM < 2.5 micron,5.32236,24.1973,0.0055
Great River Energy - Lakefield Junction Station,Nitrogen Oxides,"1,192.4",753.9,753.9
,Sulfur Dioxide,337.1,235.71,235.71
,Carbon Monoxide,374.8,"1,180.7","1,180.7"
,PM < 10 micron,157.9,231.4,231.4
,PM < 2.5 micron,157.9,231.4,231.4
Great River Energy - Maple Lake,Nitrogen Oxides,319.7,"1,400.3","1,400"
,Sulfur Dioxide,18.35,80.36,80.36
,Carbon Monoxide,1.2,5.25,5.25
,PM < 10 micron,4.36,19.1,19.1
,PM < 2.5 micron,4.02,17.62,17.62
Great River Energy - Pleasant Valley,Nitrogen Oxides,"2,155.33","8,334.2",490.45
,Sulfur Dioxide,561.91,"2,171.99",131.91
,Carbon Monoxide,618.07,"2,393.9",490.11
,PM < 10 micron,83.54,335.59,28.09
,PM < 2.5 micron,83.54,335.59,28.09
Great River Energy - Rock Lake,Nitrogen Oxides,319.7,"1,400.3","1,400.3"
,Sulfur Dioxide,181.7,80.36,80.36
,Carbon Monoxide,1.2,5.25,5.25
,PM < 10 micron,4.36,19.1,19.1
,PM < 2.5 micron,4.02,17.62,17.62
Great River Energy - Saint Bonifacius,Nitrogen Oxides,703.41,"3,081.62",1.98
,Sulfur Dioxide,44.05,192.95,192.58
,Carbon Monoxide,4.58,20.06,13.03
,PM < 10 micron,11,48.18,45.86
,PM < 2.5 micron,11,48.26,45.94
Grede LLC - Saint Cloud,Nitrogen Oxides,40.659,178.212,106.616
,Sulfur Dioxide,1.919452,13.967765,9.105898
,Carbon Monoxide,16.768,75.453,49.883
,PM < 10 micron,40.6351,"10,485.276",180.85382
,PM < 2.5 micron,34.406618,"7,184.986",154.46236
Green Plains Fairmont LLC,Nitrogen Oxides,31.934,138.041,94.601
,Sulfur Dioxide,15.00012,65.70003,65.70003
,Carbon Monoxide,27.04,"1,824.231",92.291
,PM < 10 micron,12.0506,678.5884,50.0084
,PM < 2.5 micron,6.9128,0.0004,30.2844
Green Plains Otter Tail LLC,Nitrogen Oxides,50.44,219.05,94.95
,Sulfur Dioxide,3.121,13.7,13.6
,Carbon Monoxide,24.73,103.46,94.631
,PM < 10 micron,16.54,65.49,71.66
,PM < 2.5 micron,14.282,63.61,61.56
Guardian Energy LLC,Nitrogen Oxides,55.63,236.05,195.32
,Sulfur Dioxide,20.88,91.46,88.73
,Carbon Monoxide,32.63,688.79,125.1
,PM < 10 micron,18.04,983.6,76.15
,PM < 2.5 micron,16.6,802.02,69.85
Halcon Corp,Nitrogen Oxides,5.008,21.932,21.932
,Sulfur Dioxide,0.032,0.132,0.132
,Carbon Monoxide,1.052,4.608,4.608
,PM < 10 micron,12.01,120.182,49.002
Hard Chrome Inc,Nitrogen Oxides,5.3158,23.268,23.268
,Sulfur Dioxide,0.029,0.13,0.1236
,Carbon Monoxide,2.09,9.152,9.152
,PM < 10 micron,1.83842,13.087226,8.944856
,PM < 2.5 micron,1.83922,13.087226,8.838936
Heartland Corn Products,Nitrogen Oxides,94.734,401.0373,374.5233
,Sulfur Dioxide,22.41,98.116,93.3411
,Carbon Monoxide,103.72,"3,269.76",399.7475
,PM < 10 micron,44.304,866.628,178.34659
,PM < 2.5 micron,42.144,859.084,170.89259
Hedstrom Lumber Co Inc,Nitrogen Oxides,23.65,103.586,95.583
,Sulfur Dioxide,2.689,11.77075,10.861
,Carbon Monoxide,64.5,282.552,260.682
,PM < 10 micron,520.6787674,"3,015.4447",216.7286
Hennepin County Energy Center,Nitrogen Oxides,105.581,417.18,10.22
,Sulfur Dioxide,56.38,951.802,0.672
,Carbon Monoxide,45.04,160.96,2.2
,PM < 10 micron,7.5331,65.17,0.72
Heron Lake BioEnergy LLC,Nitrogen Oxides,37.464,163.57,106.54
,Sulfur Dioxide,16.6,72.69,67.77
,Carbon Monoxide,61.02,"5,173.27",173.27
,PM < 10 micron,14.755,"2,229.459",59.386
,PM < 2.5 micron,13.987,"2,226.109",57.115
Hibbing Public Utilities Commission,Nitrogen Oxides,849.058,"3,636.978","3,636.978"
,Sulfur Dioxide,"1,247.04118","12,364.92","5,448.24"
,Carbon Monoxide,939.52,"3,794.98","3,794.98"
,PM < 10 micron,152.4556,"4,859.15744",653.93844
,PM < 2.5 micron,53.92245,"1,956.401127",221.881127
Hibbing Taconite Co,PM < 10 micron,0,,0.6
Highwater Ethanol LLC,Nitrogen Oxides,27.37,119.9,98.01
,Sulfur Dioxide,20.627,90.3488,87.7704
,Carbon Monoxide,24.64,"1,854.95",95.87
,PM < 10 micron,18.9,"4,100.63",41.52
,PM < 2.5 micron,15.252,"3,978.21",36.18
Hill Wood Products Inc,Nitrogen Oxides,66.57,291.44,211.29
,Sulfur Dioxide,5.68,24.54,19.24
,Carbon Monoxide,167.98,735.92,718.64
,PM < 10 micron,355.783,"1,558.45",446.5888
,PM < 2.5 micron,297.142,"1,301.64",428.0788
Hoffman Enclosure Inc/Pentair Equipment Protection,Nitrogen Oxides,26.764,56.5635,56.5635
,Sulfur Dioxide,0.505024,0.440069,0.440069
,Carbon Monoxide,25.72,48.2825,48.2825
,PM < 10 micron,1.454,4.2085,4.2085
,PM < 2.5 micron,1.454,4.2085,4.2085
Hometown BioEnergy,Nitrogen Oxides,26.3417585,115.37732887,103.54219599
,Sulfur Dioxide,40.513681967,177.470967016,16.362041416
,Carbon Monoxide,110.47304786,483.870195082,174.190883882
,PM < 10 micron,1.575294251,9.689420501,8.991312613
,PM < 2.5 micron,1.575301491,7.489420341,6.791312613
Hood Packaging Corp - Arden Hills,Nitrogen Oxides,1.23,5.41,
,Sulfur Dioxide,0.0076,0.032,
,Carbon Monoxide,1.04,4.54,
,PM < 10 micron,0.097,0.41,
,PM < 2.5 micron,0.097,0.41,
Hormel Foods Corporation - Austin Plant,Nitrogen Oxides,21.997,96.304000000,83.6074
,Sulfur Dioxide,0.203234,0.889440000,0.886319000
,Carbon Monoxide,115.557,228.027,258.727
,PM < 10 micron,"7,832.7477","34,266.9559",643.408740000
,PM < 2.5 micron,280.4257,"1,225.0059",643.347140000
Hutchinson Utilities Commission - Plant 1,Nitrogen Oxides,595.45,"2,953.6222",502.2422
,Sulfur Dioxide,1.9124,8.42889,3.44369
,Carbon Monoxide,280.3,"1,861.254943",409.876943
,PM < 10 micron,19.28,84.161511,44.031511
,PM < 2.5 micron,19.01,82.981511,43.951511
Hutchinson Utilities Commission -Plant 2,Nitrogen Oxides,230.65,"2,480.69",0
,Sulfur Dioxide,6.02,26.32,26.32
,Carbon Monoxide,53.83,638.31,0
,PM < 10 micron,11.75,51.29,51.29
,PM < 2.5 micron,11.75,51.29,51.29
IBM - Rochester,Nitrogen Oxides,154.1256,334.7646,0
,Sulfur Dioxide,60.3244,235.8828,0
,Carbon Monoxide,56.2984,151.7341,0
,PM < 10 micron,9.5937,19.2188,0
,PM < 2.5 micron,2.173,9.5152,0
Imperial Plastics Inc,Nitrogen Oxides,1.8762,8.221,8.221
,Sulfur Dioxide,0.013881,0.06072,0.06072
,Carbon Monoxide,1.412,6.181,6.181
,PM < 10 micron,"1,449.36684","6,330.7315",0.7315
,PM < 2.5 micron,"1,449.35984","6,330.7005",0.7005
Industrial Finishing Services Inc - Perham,Nitrogen Oxides,9.8397,42.8955,42.8955
,Sulfur Dioxide,0.0644,0.2579,0.2579
,Carbon Monoxide,8.208,36.0063,36.0063
,PM < 10 micron,821.6656,"23,972.0511",3.8771
,PM < 2.5 micron,821.6656,"23,972.0511",3.8771
Industrial Painting Specialist,Nitrogen Oxides,3.1537568,13.815745184,13.815745184
,Sulfur Dioxide,0.011772278,0.051617578,0.051617578
,Carbon Monoxide,1.64911892,7.222460870,7.222460870
,PM < 10 micron,"5,039.798429836","22,061.634144682",333.363244682
Innovent Air Handling Equipment LLC,Nitrogen Oxides,0.693,3.07,3.07
,Sulfur Dioxide,0.00421,0.0183,0.0183
,Carbon Monoxide,0.593,2.58,2.58
,PM < 10 micron,3.00338,57.874,17.514
,PM < 2.5 micron,3.00338,57.874,17.514
International Bildrite Inc,Nitrogen Oxides,5.985,26.21,26.21
,Sulfur Dioxide,0.118,0.502,0.502
,Carbon Monoxide,5.086,22.318,22.318
,PM < 10 micron,55.259,241.957,106.237
,PM < 2.5 micron,55.15278,241.4874,105.7674
Interplastic Corp - Minneapolis Plant,Nitrogen Oxides,,13.47,13.47
,Sulfur Dioxide,,0.051,0.051
,Carbon Monoxide,,0,0
,PM < 10 micron,,0.633,0.633
Interstate Power & Light - Fox Lake,Nitrogen Oxides,848.54,"3,716.59","2,542.96"
,Sulfur Dioxide,"1,076.06","4,713.21","4,084.75"
,Carbon Monoxide,64.39,281.98,264.1
,PM < 10 micron,69.724,318.44,285.58
,PM < 2.5 micron,69.6,304.84,285.18
Intex Corp,Nitrogen Oxides,202.83,888.47,0
,Sulfur Dioxide,30.84,135.12,0
,Carbon Monoxide,46.05,201.67,0
,PM < 10 micron,7.31,31.88,0
,PM < 2.5 micron,7.28,31.88,
Invenergy Cannon Falls LLC,Nitrogen Oxides,"2,117.03","8,434.01",6.222
,Sulfur Dioxide,594.3856,"2,395.67",176.4283
,Carbon Monoxide,"1,273.01","1,738.42",3.72798
,PM < 10 micron,204.09,893.81,243.76218
Jarden Home Brands,Nitrogen Oxides,14.08,61.68,61.68
,Sulfur Dioxide,1.6,7.04,7.04
,Carbon Monoxide,43.581,190.907,94.862
,PM < 10 micron,21.1,665.18,92
,PM < 2.5 micron,15.44,384.09,67.5
Jordan Sands LLC,Nitrogen Oxides,11.03,40.6,31.85
,Sulfur Dioxide,1.06,4.66,1.69
,Carbon Monoxide,6.96,38.19,22.35
,PM < 10 micron,43.26,"1,104.867",107
,PM < 2.5 micron,15.86,307.92,57.38
Joy Global Surface Mining Inc,PM < 10 micron,529.95,"4,760.2",48.13
,PM < 2.5 micron,527.33,"4,759.67",47.6
Kerry Ingredients & Flavours,Nitrogen Oxides,0,0,0
,Sulfur Dioxide,0,0,0
,Carbon Monoxide,0,0,0
,PM < 10 micron,0,0,0
,PM < 2.5 micron,0,0,0
Koda Energy LLC,Nitrogen Oxides,462.3,"3,968.52","2,024.76"
,Sulfur Dioxide,129.6,"1,956.6",567.66
,Carbon Monoxide,795.12,"4,859.4","3,482.58"
,PM < 10 micron,81.34844,"20,559.781",355.36926
,PM < 2.5 micron,80.846314,"17,994.19686",353.91531
Kraemer Mining & Materials - Burnsville,Nitrogen Oxides,59.375,260.04,94.39
,Sulfur Dioxide,6.554,28.71,15.45
,Carbon Monoxide,29.355,128.58,92.57
,PM < 10 micron,3.134,13.73,2.91
Lamb Weston/RDO Frozen,Nitrogen Oxides,39.5,173.73,0
,Sulfur Dioxide,54.7171,239.435,0.075
,Carbon Monoxide,30.88,553.95,0
,PM < 10 micron,79.035,987.56,325.9
,PM < 2.5 micron,78.035,982.97,325.9
Larson Boats LLC,Nitrogen Oxides,10.866,47.602,38.448
,Sulfur Dioxide,1.1182,4.8657,4.3739
,Carbon Monoxide,6.418,28.095,22.303
,PM < 10 micron,"2,561.932200000","28,039.088200000",2.0782
,PM < 2.5 micron,"2,562.904200000","28,039.088200000",2.0786
Le Sueur Inc,Nitrogen Oxides,0,0,0
,Sulfur Dioxide,0,0,0
,Carbon Monoxide,0,0,0
,PM < 10 micron,427.06,"1,870.42",130.92
,PM < 2.5 micron,427.06,"1,870.42",130.92
Liberty Paper Inc,Nitrogen Oxides,0.673,297.27,17.15
,Sulfur Dioxide,10.10128,92.80561,46.73561
,Carbon Monoxide,2.679,"4,371.785",221.465
,PM < 10 micron,0.0666,22.812,1.382
,PM < 2.5 micron,0.2124,22.812,1.382
,Hydrogen Sulfide (H2S),0.168,0.738,0.049
Litchfield city of,Nitrogen Oxides,391.544,"1,714.37",1.37
,Sulfur Dioxide,0.27153,1.18944,0.00824
,Carbon Monoxide,43.224,189.3062,1.15
,PM < 10 micron,5.5058,24.114,0.104
,PM < 2.5 micron,5.5058,24.114,0.104
Louisiana-Pacific Corp - Two Harbors,Nitrogen Oxides,60.086,281.55,263.17
,Sulfur Dioxide,2.5967,11.27,11.27
,Carbon Monoxide,90.31,816.37,396.01
,PM < 10 micron,847.206,"10,389.67",445.59
LSC Communications - Long Prairie,Nitrogen Oxides,18.142,99.96,
,Sulfur Dioxide,0.1367,0.5998,
,Carbon Monoxide,19.171,83.98,
,PM < 10 micron,1.732,7.593,
LSP Cottage Grove Cogeneration Facility,Nitrogen Oxides,207.52,"9,245.25",252.07
,Sulfur Dioxide,94.0425,"1,871.761",55.441
,Carbon Monoxide,72.52,"6,048.18",0
,PM < 10 micron,87.91,602.87,141.74
,PM < 2.5 micron,84.31,586.37,141.74
Mag Mining LLC - Plant 4,PM < 10 micron,306.502947,"1,364.725429","1,364.651429"
,PM < 2.5 micron,31.858862,145.124629,145.115629
Magellan Pipeline Co LP - Mankato,Nitrogen Oxides,1.68,7.38,7.38
,Carbon Monoxide,4.2,18.44,18.44
Magellan Pipeline Co LP - Marshall,Nitrogen Oxides,43.748,191.612,187.2
,Sulfur Dioxide,0.232,1.02,0.94
,Carbon Monoxide,11.148,48.83,75.2
,PM < 10 micron,0.7,3.066,2.8
Magellan Pipeline Co LP - Rochester,Nitrogen Oxides,1.75,,7.668
,Carbon Monoxide,4.378,,19.172
Magellan Pipeline Co LP - Saint Paul Terminal,Nitrogen Oxides,12.824,56.176,56.176
,Carbon Monoxide,32.064,140.44,140.44
Magellan Pipeline Pump Station,Nitrogen Oxides,1.738,7.612,7.612
,Carbon Monoxide,4.344,19.028,19.028
Magellan Pipeline Terminal,Nitrogen Oxides,4.81,0,21.066
,Carbon Monoxide,12.024,0,52.666
Magnetation LLC - Plant 2,PM < 10 micron,28.307,808.762,102.552
,PM < 2.5 micron,6.1721,95.581,21.871
Malteurop North America Inc - Winona,Nitrogen Oxides,15.04,65.92,65.92
,Sulfur Dioxide,0.08,0.24,0.24
,Carbon Monoxide,8.08,35.52,35.52
,PM < 10 micron,6.962,336.52,30.51
,PM < 2.5 micron,2.2264,59.589,9.706
Mankato Energy Center LLC,Nitrogen Oxides,119.13,"2,898.209",365.049
,Sulfur Dioxide,109.06169,455.97339,98.89339
,Carbon Monoxide,76.18,"2,474.464","1,284.444"
,PM < 10 micron,86.49,377.844,178.324
,PM < 2.5 micron,85.87484,375.1652,175.6452
Martin Marietta Materials - Saint Cloud Quarry,Nitrogen Oxides,11.42,50.03,
,Sulfur Dioxide,0.75,3.29,
,Carbon Monoxide,2.46,10.78,
,PM < 10 micron,230.84,"1,673.49",128.62
,PM < 2.5 micron,216,"1,548.94",18.08
Marvin Windows & Doors,Nitrogen Oxides,413.68,"1,812.22",695.41
,Sulfur Dioxide,23.04794,101.1716,38.2116
,Carbon Monoxide,195.188,854.63,724.96
,PM < 10 micron,179.7768,"7,889.931700000",235.792
,PM < 2.5 micron,172.7568,"7,859.112700000",233.392
Mayo Clinic Hospital - Rochester,Nitrogen Oxides,254.04,"1,112.73",25.46
,Sulfur Dioxide,337.22,"1,477.015",0.15
,Carbon Monoxide,104.95,459.7,3.86
,PM < 10 micron,11.06,48.32,1.7
,PM < 2.5 micron,8.1,35.45,1.7
Mayo Medical Center Rochester,Nitrogen Oxides,817.95,"3,025.15","1,147.8"
,Sulfur Dioxide,"1,508.28","6,470.449","6,400.77"
,Carbon Monoxide,220.67,679.398,299.32
,PM < 10 micron,92.16,609.174,582.39
Mayo Waste Management Facility,Nitrogen Oxides,30.6,89.744,89.744
,Sulfur Dioxide,1.66,4.304,4.304
,Carbon Monoxide,8.65,28.392,28.392
,PM < 10 micron,27.08,115.283,5.033
,PM < 2.5 micron,1.29,112.69,2.44
McLaughlin Gormley King Co - Chaska,Nitrogen Oxides,6.32,27.4,27.4
,Carbon Monoxide,1.3,5.8,5.8
,PM < 10 micron,1.87,8,8
ME Global Inc,Nitrogen Oxides,26.75,80.724,87.584
,Sulfur Dioxide,5.86,18.486,20.628
,Carbon Monoxide,7.66,31.11,29.01
,PM < 10 micron,88.874,"1,056.136",57.879
,PM < 2.5 micron,0.012,517.181,28.353
Mesabi Nugget Delaware LLC,Nitrogen Oxides,872.891411764,"3,911.736117728","3,766.505532528"
,Sulfur Dioxide,"3,800.24299294","16,646.783273484","1,665.593048484"
,Carbon Monoxide,"77,735.159411764","340,486.508179728","1,733.513455328"
,PM < 10 micron,"16,711.893792","73,252.7926088","1,806.416999548"
,PM < 2.5 micron,393.74,4.8,"1,733.49"
Met Council - Seneca WWTP,Nitrogen Oxides,165.12,723.2,
,Sulfur Dioxide,537.6,"2,354.72",
,Carbon Monoxide,"1,385.1","6,066.7",
,PM < 10 micron,13.0674,583.8,121.32
,PM < 2.5 micron,13.0674,583.76,121.32
Met Council Metropolitan WWTP,Nitrogen Oxides,624.02,"1,779.28","1,121.38"
,Sulfur Dioxide,188.87,676.06,196.91
,Carbon Monoxide,242.56,816.85,626.39
,PM < 10 micron,21.65,"24,694.06",167.89
,PM < 2.5 micron,60.824,30.63246,167.89
,Hydrogen Sulfide (H2S),3.16,58.590000000,4.95
Metro Transit - Light Rail O&M Facility,Nitrogen Oxides,11.85,13.22,2.34
,Sulfur Dioxide,0.00115,0.060287,0.000287
,Carbon Monoxide,3.17,9.39,0.27
,PM < 10 micron,4.053,563.8649,1.0549
,PM < 2.5 micron,4.059,563.8649,1.0549
Mid Continent Cabinetry,Nitrogen Oxides,1.576,6.904,0
,Sulfur Dioxide,0.0093,0.042,0
,Carbon Monoxide,1.324,5.799,0
,PM < 10 micron,231.959,"3,909.295",12.092
Miller Milling Co LLC,Nitrogen Oxides,2.21,9.66,9.66
,Sulfur Dioxide,0.01259,0.062,0.062
,Carbon Monoxide,1.85,8.11,8.11
,PM < 10 micron,536.54,"192,101.1","2,311.67"
,PM < 2.5 micron,521.3006,"32,656.21912","2,283.376"
Minneapolis Star-Tribune Heritage Building,Nitrogen Oxides,5.712,25.02,25.02
,Sulfur Dioxide,0.001,0.004,0.004
,Carbon Monoxide,0.722,3.164,3.164
,PM < 10 micron,0.287,147.074,0.074
Minnesota Diversified Products Inc,Nitrogen Oxides,37.042,162.56,0
,Sulfur Dioxide,7.776,34.073,0
,Carbon Monoxide,13.879,60.76,16.68
,PM < 10 micron,8.216,35.982,0
,PM < 2.5 micron,8.19,35.882,0
Minnesota Diversified Products Inc -West,Nitrogen Oxides,1.221,5.348,5.348
,Sulfur Dioxide,0.028,0.123,0.123
,Carbon Monoxide,0.704,3.085,3.085
,PM < 10 micron,0.066,0.288,0.288
,PM < 2.5 micron,0.066,0.288,0.288
Minnesota Power - Hibbard Renewable Energy Ctr,Nitrogen Oxides,"2,370.33","11,749.95","10,402.69"
,Sulfur Dioxide,"4,624.08","30,147.09","20,269.07"
,Carbon Monoxide,"1,633.68","7,221.22","7,155.52"
,PM < 10 micron,115.65,"11,485.6",506.52
Minnesota Power - Laskin Energy Center,Nitrogen Oxides,792,"3,468.9","1,144.74"
,Sulfur Dioxide,"1,348.74",10.2,3.36
,Carbon Monoxide,465.9,"2,040.54",764.28
,PM < 10 micron,67.19,294.27,207.69
,PM < 2.5 micron,29.52,129.24,42.66
Minnesota Power - Taconite Harbor Energy Center,Nitrogen Oxides,"4,651.654","62,508.7018","20,194.2292"
,Sulfur Dioxide,"10,575.38048","93,494.809646","37,843.208945"
,Carbon Monoxide,860.01,"3,764.28","3,713.85"
,PM < 10 micron,"1,047.31997","405,446.33891","4,251.01391"
,PM < 2.5 micron,907.54324,"325,025.79542","3,876.11042"
,Nitrogen Dioxide,101.487147,445.008037,444.820337
Minnesota Power Inc - Boswell Energy Ctr,Nitrogen Oxides,"21,981.446","106,894.95","55,249.51"
,Sulfur Dioxide,"58,924.69411","602,154.85603","100,471.55603"
,Carbon Monoxide,"234,141.009","49,041.1975","49,044.1475"
,PM < 10 micron,"7,988.8575","4,934,261.654","12,221.385"
,PM < 2.5 micron,"3,168.4885","458,508.02","4,747.302"
